Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 
WARN	annotation_whitespace	BFO:0000018	IAO:0000602	(forall (x) (if (ZeroDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [037-001] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (Quality x) (SpecificallyDependentContinuant x))) // axiom label in BFO2 CLIF: [055-001] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (exists (t) (and (existsAt x t) (Quality x))) (forall (t_1) (if (existsAt x t_1) (Quality x))))) // axiom label in BFO2 CLIF: [105-001] 
WARN	annotation_whitespace	BFO:0000020	IAO:0000602	(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] 
WARN	annotation_whitespace	BFO:0000023	IAO:0000602	(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] 
WARN	annotation_whitespace	BFO:0000024	IAO:0000602	(forall (x) (if (FiatObjectPart x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y) (and (Object y) (properContinuantPartOfAt x y t)))))))) // axiom label in BFO2 CLIF: [027-004] 
WARN	annotation_whitespace	BFO:0000026	IAO:0000602	(forall (x) (if (OneDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [038-001] 
WARN	annotation_whitespace	BFO:0000027	IAO:0000116	An entity a is an object aggregate if and only if there is a mutually exhaustive and pairwise disjoint partition of a into objects 
WARN	annotation_whitespace	BFO:0000027	IAO:0000602	(forall (x) (if (ObjectAggregate x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y z) (and (Object y) (Object z) (memberPartOfAt y x t) (memberPartOfAt z x t) (not (= y z)))))) (not (exists (w t_1) (and (memberPartOfAt w x t_1) (not (Object w)))))))) // axiom label in BFO2 CLIF: [025-004] 
WARN	annotation_whitespace	BFO:0000028	IAO:0000602	(forall (x) (if (ThreeDimensionalSpatialRegion x) (SpatialRegion x))) // axiom label in BFO2 CLIF: [040-001] 
WARN	annotation_whitespace	BFO:0000029	IAO:0000602	(forall (x) (if (Site x) (ImmaterialEntity x))) // axiom label in BFO2 CLIF: [034-002] 
WARN	annotation_whitespace	BFO:0000031	IAO:0000602	(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] 
WARN	annotation_whitespace	BFO:0000034	IAO:0000602	(forall (x) (if (Function x) (Disposition x))) // axiom label in BFO2 CLIF: [064-001] 
WARN	annotation_whitespace	BFO:0000035	IAO:0000602	(forall (x) (if (ProcessBoundary x) (exists (y) (and (ZeroDimensionalTemporalRegion y) (occupiesTemporalRegion x y))))) // axiom label in BFO2 CLIF: [085-002] 
WARN	annotation_whitespace	BFO:0000035	IAO:0000602	(iff (ProcessBoundary a) (exists (p) (and (Process p) (temporalPartOf a p) (not (exists (b) (properTemporalPartOf b a)))))) // axiom label in BFO2 CLIF: [084-001] 
WARN	annotation_whitespace	BFO:0000038	IAO:0000602	(forall (x) (if (OneDimensionalTemporalRegion x) (TemporalRegion x))) // axiom label in BFO2 CLIF: [103-001] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (MaterialEntity x) (IndependentContinuant x))) // axiom label in BFO2 CLIF: [019-002] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt x y t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [021-002] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt y x t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [020-002] 
WARN	annotation_whitespace	BFO:0000140	IAO:0000602	(iff (ContinuantFiatBoundary a) (and (ImmaterialEntity a) (exists (b) (and (or (ZeroDimensionalSpatialRegion b) (OneDimensionalSpatialRegion b) (TwoDimensionalSpatialRegion b)) (forall (t) (locatedInAt a b t)))) (not (exists (c t) (and (SpatialRegion c) (continuantPartOfAt c a t)))))) // axiom label in BFO2 CLIF: [029-001] 
WARN	annotation_whitespace	BFO:0000142	IAO:0000602	(iff (OneDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (OneDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [032-001] 
WARN	annotation_whitespace	BFO:0000144	IAO:0000602	(forall (x y) (if (processProfileOf x y) (and (properContinuantPartOf x y) (exists (z t) (and (properOccurrentPartOf z y) (TemporalRegion t) (occupiesSpatioTemporalRegion x t) (occupiesSpatioTemporalRegion y t) (occupiesSpatioTemporalRegion z t) (not (exists (w) (and (occurrentPartOf w x) (occurrentPartOf w z))))))))) // axiom label in BFO2 CLIF: [094-005] 
WARN	annotation_whitespace	BFO:0000144	IAO:0000602	(iff (ProcessProfile a) (exists (b) (and (Process b) (processProfileOf a b)))) // axiom label in BFO2 CLIF: [093-002] 
WARN	annotation_whitespace	BFO:0000145	IAO:0000602	(iff (RelationalQuality a) (exists (b c t) (and (IndependentContinuant b) (IndependentContinuant c) (qualityOfAt a b t) (qualityOfAt a c t)))) // axiom label in BFO2 CLIF: [057-001] 
WARN	annotation_whitespace	BFO:0000146	IAO:0000602	(iff (TwoDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (TwoDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [033-001] 
WARN	annotation_whitespace	BFO:0000147	IAO:0000602	(iff (ZeroDimensionalContinuantFiatBoundary a) (and (ContinuantFiatBoundary a) (exists (b) (and (ZeroDimensionalSpatialRegion b) (forall (t) (locatedInAt a b t)))))) // axiom label in BFO2 CLIF: [031-001] 
WARN	annotation_whitespace	BFO:0000148	IAO:0000602	(forall (x) (if (ZeroDimensionalTemporalRegion x) (TemporalRegion x))) // axiom label in BFO2 CLIF: [102-001] 
WARN	annotation_whitespace	IAO:0000424	IAO:0000112	"ObjectProperty: RO_0002104
Label: has plasma membrane part
Annotations: IAO_0000424 \""http://purl.obolibrary.org/obo/BFO_0000051 some (http://purl.org/obo/owl/GO#GO_0005886 and http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\""
@en"
WARN	annotation_whitespace	IAO:0000425	IAO:0000112	"ObjectProperty: RO???
Label: spatially disjoint from
Annotations: expand_assertion_to \""DisjointClasses: (http://purl.obolibrary.org/obo/BFO_0000051 some ?X)  (http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\""
@en"
WARN	annotation_whitespace	IAO:0000597	IAO:0000112	"Datatype: idrange:1
Annotations: 'has ID range allocated to': \""Chris Mungall\""
EquivalentTo: xsd:integer[> 2151 , <= 2300]
@en"
WARN	annotation_whitespace	OMO:0001002	IAO:0000116	This obsolesence reason should be used conservatively. For example: Obsoleting class that describes a breed of cow based on a record in an existing database, that was later retracted as faulty (breed does not exist). Do not use this term to obsolete a historic concept (that was once valid, but not anymore). @en
WARN	duplicate_exact_synonym	obo:OCCO_49908000	IAO:0000118	Wind Turbine Service Technicians
WARN	duplicate_exact_synonym	obo:OCCO_49908100	IAO:0000118	Wind Turbine Service Technicians
WARN	duplicate_exact_synonym	obo:OCCO_43511000	IAO:0000118	Weighers, Measurers, Checkers, and Samplers, Recordkeeping
WARN	duplicate_exact_synonym	obo:OCCO_43511100	IAO:0000118	Weighers, Measurers, Checkers, and Samplers, Recordkeeping
WARN	duplicate_exact_synonym	obo:OCCO_51803000	IAO:0000118	Water and Wastewater Treatment Plant and System Operators
WARN	duplicate_exact_synonym	obo:OCCO_51803100	IAO:0000118	Water and Wastewater Treatment Plant and System Operators
WARN	duplicate_exact_synonym	obo:OCCO_35303000	IAO:0000118	Waiters and Waitresses
WARN	duplicate_exact_synonym	obo:OCCO_35303100	IAO:0000118	Waiters and Waitresses
WARN	duplicate_exact_synonym	obo:OCCO_29113000	IAO:0000118	Veterinarians
WARN	duplicate_exact_synonym	obo:OCCO_29113100	IAO:0000118	Veterinarians
WARN	duplicate_exact_synonym	obo:OCCO_39303000	IAO:0000118	Ushers, Lobby Attendants, and Ticket Takers
WARN	duplicate_exact_synonym	obo:OCCO_39303100	IAO:0000118	Ushers, Lobby Attendants, and Ticket Takers
WARN	duplicate_exact_synonym	obo:OCCO_19305000	IAO:0000118	Urban and Regional Planners
WARN	duplicate_exact_synonym	obo:OCCO_19305100	IAO:0000118	Urban and Regional Planners
WARN	duplicate_exact_synonym	obo:OCCO_25304000	IAO:0000118	Tutors
WARN	duplicate_exact_synonym	obo:OCCO_25304100	IAO:0000118	Tutors
WARN	duplicate_exact_synonym	obo:OCCO_41304000	IAO:0000118	Travel Agents
WARN	duplicate_exact_synonym	obo:OCCO_41304100	IAO:0000118	Travel Agents
WARN	duplicate_exact_synonym	obo:OCCO_11307000	IAO:0000118	Transportation, Storage, and Distribution Managers
WARN	duplicate_exact_synonym	obo:OCCO_11307100	IAO:0000118	Transportation, Storage, and Distribution Managers
WARN	duplicate_exact_synonym	obo:OCCO_53605000	IAO:0000118	Transportation Inspectors
WARN	duplicate_exact_synonym	obo:OCCO_53605100	IAO:0000118	Transportation Inspectors
WARN	duplicate_exact_synonym	obo:OCCO_13115000	IAO:0000118	Training and Development Specialists
WARN	duplicate_exact_synonym	obo:OCCO_13115100	IAO:0000118	Training and Development Specialists
WARN	duplicate_exact_synonym	obo:OCCO_11313000	IAO:0000118	Training and Development Managers
WARN	duplicate_exact_synonym	obo:OCCO_11313100	IAO:0000118	Training and Development Managers
WARN	duplicate_exact_synonym	obo:OCCO_53604000	IAO:0000118	Traffic Technicians
WARN	duplicate_exact_synonym	obo:OCCO_53604100	IAO:0000118	Traffic Technicians
WARN	duplicate_exact_synonym	obo:OCCO_39700000	IAO:0000118	Tour and Travel Guides
WARN	duplicate_exact_synonym	obo:OCCO_39701000	IAO:0000118	Tour and Travel Guides
WARN	duplicate_exact_synonym	obo:OCCO_51411000	IAO:0000118	Tool and Die Makers
WARN	duplicate_exact_synonym	obo:OCCO_51411100	IAO:0000118	Tool and Die Makers
WARN	duplicate_exact_synonym	obo:OCCO_51206000	IAO:0000118	Timing Device Assemblers and Adjusters
WARN	duplicate_exact_synonym	obo:OCCO_51206100	IAO:0000118	Timing Device Assemblers and Adjusters
WARN	duplicate_exact_synonym	obo:OCCO_43307000	IAO:0000118	Tellers
WARN	duplicate_exact_synonym	obo:OCCO_43307100	IAO:0000118	Tellers
WARN	duplicate_exact_synonym	obo:OCCO_43202000	IAO:0000118	Telephone Operators
WARN	duplicate_exact_synonym	obo:OCCO_43202100	IAO:0000118	Telephone Operators
WARN	duplicate_exact_synonym	obo:OCCO_41904000	IAO:0000118	Telemarketers
WARN	duplicate_exact_synonym	obo:OCCO_41904100	IAO:0000118	Telemarketers
WARN	duplicate_exact_synonym	obo:OCCO_53712000	IAO:0000118	Tank Car, Truck, and Ship Loaders
WARN	duplicate_exact_synonym	obo:OCCO_53712100	IAO:0000118	Tank Car, Truck, and Ship Loaders
WARN	duplicate_exact_synonym	obo:OCCO_43201000	IAO:0000118	Switchboard Operators, Including Answering Service
WARN	duplicate_exact_synonym	obo:OCCO_43201100	IAO:0000118	Switchboard Operators, Including Answering Service
WARN	duplicate_exact_synonym	obo:OCCO_17303000	IAO:0000118	Surveying and Mapping Technicians
WARN	duplicate_exact_synonym	obo:OCCO_17303100	IAO:0000118	Surveying and Mapping Technicians
WARN	duplicate_exact_synonym	obo:OCCO_19302000	IAO:0000118	Survey Researchers
WARN	duplicate_exact_synonym	obo:OCCO_19302200	IAO:0000118	Survey Researchers
WARN	duplicate_exact_synonym	obo:OCCO_35100000	IAO:0000118	Supervisors of Food Preparation and Serving Workers
WARN	duplicate_exact_synonym	obo:OCCO_35101000	IAO:0000118	Supervisors of Food Preparation and Serving Workers
WARN	duplicate_exact_synonym	obo:OCCO_53404000	IAO:0000118	Subway and Streetcar Operators
WARN	duplicate_exact_synonym	obo:OCCO_53404100	IAO:0000118	Subway and Streetcar Operators
WARN	duplicate_exact_synonym	obo:OCCO_25303000	IAO:0000118	Substitute Teachers, Short-Term
WARN	duplicate_exact_synonym	obo:OCCO_25303100	IAO:0000118	Substitute Teachers, Short-Term
WARN	duplicate_exact_synonym	obo:OCCO_51204000	IAO:0000118	Structural Metal Fabricators and Fitters
WARN	duplicate_exact_synonym	obo:OCCO_51204100	IAO:0000118	Structural Metal Fabricators and Fitters
WARN	duplicate_exact_synonym	obo:OCCO_47222000	IAO:0000118	Structural Iron and Steel Workers
WARN	duplicate_exact_synonym	obo:OCCO_47222100	IAO:0000118	Structural Iron and Steel Workers
WARN	duplicate_exact_synonym	obo:OCCO_15204000	IAO:0000118	Statisticians
WARN	duplicate_exact_synonym	obo:OCCO_15204100	IAO:0000118	Statisticians
WARN	duplicate_exact_synonym	obo:OCCO_43911000	IAO:0000118	Statistical Assistants
WARN	duplicate_exact_synonym	obo:OCCO_43911100	IAO:0000118	Statistical Assistants
WARN	duplicate_exact_synonym	obo:OCCO_51802000	IAO:0000118	Stationary Engineers and Boiler Operators
WARN	duplicate_exact_synonym	obo:OCCO_51802100	IAO:0000118	Stationary Engineers and Boiler Operators
WARN	duplicate_exact_synonym	obo:OCCO_47223000	IAO:0000118	Solar Photovoltaic Installers
WARN	duplicate_exact_synonym	obo:OCCO_47223100	IAO:0000118	Solar Photovoltaic Installers
WARN	duplicate_exact_synonym	obo:OCCO_19304000	IAO:0000118	Sociologists
WARN	duplicate_exact_synonym	obo:OCCO_19304100	IAO:0000118	Sociologists
WARN	duplicate_exact_synonym	obo:OCCO_19406000	IAO:0000118	Social Science Research Assistants
WARN	duplicate_exact_synonym	obo:OCCO_19406100	IAO:0000118	Social Science Research Assistants
WARN	duplicate_exact_synonym	obo:OCCO_11915000	IAO:0000118	Social and Community Service Managers
WARN	duplicate_exact_synonym	obo:OCCO_11915100	IAO:0000118	Social and Community Service Managers
WARN	duplicate_exact_synonym	obo:OCCO_43507000	IAO:0000118	Shipping, Receiving, and Inventory Clerks
WARN	duplicate_exact_synonym	obo:OCCO_43507100	IAO:0000118	Shipping, Receiving, and Inventory Clerks
WARN	duplicate_exact_synonym	obo:OCCO_53503000	IAO:0000118	Ship Engineers
WARN	duplicate_exact_synonym	obo:OCCO_53503100	IAO:0000118	Ship Engineers
WARN	duplicate_exact_synonym	obo:OCCO_47221000	IAO:0000118	Sheet Metal Workers
WARN	duplicate_exact_synonym	obo:OCCO_47221100	IAO:0000118	Sheet Metal Workers
WARN	duplicate_exact_synonym	obo:OCCO_51603000	IAO:0000118	Sewing Machine Operators
WARN	duplicate_exact_synonym	obo:OCCO_51603100	IAO:0000118	Sewing Machine Operators
WARN	duplicate_exact_synonym	obo:OCCO_47407000	IAO:0000118	Septic Tank Servicers and Sewer Pipe Cleaners
WARN	duplicate_exact_synonym	obo:OCCO_47407100	IAO:0000118	Septic Tank Servicers and Sewer Pipe Cleaners
WARN	duplicate_exact_synonym	obo:OCCO_51914000	IAO:0000118	Semiconductor Processing Technicians
WARN	duplicate_exact_synonym	obo:OCCO_51914100	IAO:0000118	Semiconductor Processing Technicians
WARN	duplicate_exact_synonym	obo:OCCO_25302000	IAO:0000118	Self-Enrichment Teachers
WARN	duplicate_exact_synonym	obo:OCCO_25302100	IAO:0000118	Self-Enrichment Teachers
WARN	duplicate_exact_synonym	obo:OCCO_41303000	IAO:0000118	Securities, Commodities, and Financial Services Sales Agents
WARN	duplicate_exact_synonym	obo:OCCO_41303100	IAO:0000118	Securities, Commodities, and Financial Services Sales Agents
WARN	duplicate_exact_synonym	obo:OCCO_43600000	IAO:0000118	Secretaries and Administrative Assistants
WARN	duplicate_exact_synonym	obo:OCCO_43601000	IAO:0000118	Secretaries and Administrative Assistants
WARN	duplicate_exact_synonym	obo:OCCO_41400000	IAO:0000118	Sales Representatives, Wholesale and Manufacturing
WARN	duplicate_exact_synonym	obo:OCCO_41401000	IAO:0000118	Sales Representatives, Wholesale and Manufacturing
WARN	duplicate_exact_synonym	obo:OCCO_41903000	IAO:0000118	Sales Engineers
WARN	duplicate_exact_synonym	obo:OCCO_41903100	IAO:0000118	Sales Engineers
WARN	duplicate_exact_synonym	obo:OCCO_53501000	IAO:0000118	Sailors and Marine Oilers
WARN	duplicate_exact_synonym	obo:OCCO_53501100	IAO:0000118	Sailors and Marine Oilers
WARN	duplicate_exact_synonym	obo:OCCO_47507000	IAO:0000118	Roustabouts, Oil and Gas
WARN	duplicate_exact_synonym	obo:OCCO_47507100	IAO:0000118	Roustabouts, Oil and Gas
WARN	duplicate_exact_synonym	obo:OCCO_47218000	IAO:0000118	Roofers
WARN	duplicate_exact_synonym	obo:OCCO_47218100	IAO:0000118	Roofers
WARN	duplicate_exact_synonym	obo:OCCO_47505000	IAO:0000118	Rock Splitters, Quarry
WARN	duplicate_exact_synonym	obo:OCCO_47505100	IAO:0000118	Rock Splitters, Quarry
WARN	duplicate_exact_synonym	obo:OCCO_41203000	IAO:0000118	Retail Salespersons
WARN	duplicate_exact_synonym	obo:OCCO_41203100	IAO:0000118	Retail Salespersons
WARN	duplicate_exact_synonym	obo:OCCO_39904000	IAO:0000118	Residential Advisors
WARN	duplicate_exact_synonym	obo:OCCO_39904100	IAO:0000118	Residential Advisors
WARN	duplicate_exact_synonym	obo:OCCO_43418000	IAO:0000118	Reservation and Transportation Ticket Agents and Travel Clerks
WARN	duplicate_exact_synonym	obo:OCCO_43418100	IAO:0000118	Reservation and Transportation Ticket Agents and Travel Clerks
WARN	duplicate_exact_synonym	obo:OCCO_47217000	IAO:0000118	Reinforcing Iron and Rebar Workers
WARN	duplicate_exact_synonym	obo:OCCO_47217100	IAO:0000118	Reinforcing Iron and Rebar Workers
WARN	duplicate_exact_synonym	obo:OCCO_29114000	IAO:0000118	Registered Nurses
WARN	duplicate_exact_synonym	obo:OCCO_29114100	IAO:0000118	Registered Nurses
WARN	duplicate_exact_synonym	obo:OCCO_53708000	IAO:0000118	Refuse and Recyclable Material Collectors
WARN	duplicate_exact_synonym	obo:OCCO_53708100	IAO:0000118	Refuse and Recyclable Material Collectors
WARN	duplicate_exact_synonym	obo:OCCO_43417000	IAO:0000118	Receptionists and Information Clerks
WARN	duplicate_exact_synonym	obo:OCCO_43417100	IAO:0000118	Receptionists and Information Clerks
WARN	duplicate_exact_synonym	obo:OCCO_53403000	IAO:0000118	Railroad Conductors and Yardmasters
WARN	duplicate_exact_synonym	obo:OCCO_53403100	IAO:0000118	Railroad Conductors and Yardmasters
WARN	duplicate_exact_synonym	obo:OCCO_53402000	IAO:0000118	Railroad Brake, Signal, and Switch Operators and Locomotive Firers
WARN	duplicate_exact_synonym	obo:OCCO_53402200	IAO:0000118	Railroad Brake, Signal, and Switch Operators and Locomotive Firers
WARN	duplicate_exact_synonym	obo:OCCO_47406000	IAO:0000118	Rail-Track Laying and Maintenance Equipment Operators
WARN	duplicate_exact_synonym	obo:OCCO_47406100	IAO:0000118	Rail-Track Laying and Maintenance Equipment Operators
WARN	duplicate_exact_synonym	obo:OCCO_11306000	IAO:0000118	Purchasing Managers
WARN	duplicate_exact_synonym	obo:OCCO_11306100	IAO:0000118	Purchasing Managers
WARN	duplicate_exact_synonym	obo:OCCO_27303000	IAO:0000118	Public Relations Specialists
WARN	duplicate_exact_synonym	obo:OCCO_27303100	IAO:0000118	Public Relations Specialists
WARN	duplicate_exact_synonym	obo:OCCO_11914000	IAO:0000118	Property, Real Estate, and Community Association Managers
WARN	duplicate_exact_synonym	obo:OCCO_11914100	IAO:0000118	Property, Real Estate, and Community Association Managers
WARN	duplicate_exact_synonym	obo:OCCO_43908000	IAO:0000118	Proofreaders and Copy Markers
WARN	duplicate_exact_synonym	obo:OCCO_43908100	IAO:0000118	Proofreaders and Copy Markers
WARN	duplicate_exact_synonym	obo:OCCO_43506000	IAO:0000118	Production, Planning, and Expediting Clerks
WARN	duplicate_exact_synonym	obo:OCCO_43506100	IAO:0000118	Production, Planning, and Expediting Clerks
WARN	duplicate_exact_synonym	obo:OCCO_43306000	IAO:0000118	Procurement Clerks
WARN	duplicate_exact_synonym	obo:OCCO_43306100	IAO:0000118	Procurement Clerks
WARN	duplicate_exact_synonym	obo:OCCO_33902000	IAO:0000118	Private Detectives and Investigators
WARN	duplicate_exact_synonym	obo:OCCO_33902100	IAO:0000118	Private Detectives and Investigators
WARN	duplicate_exact_synonym	obo:OCCO_51510000	IAO:0000118	Printing Workers
WARN	duplicate_exact_synonym	obo:OCCO_51511000	IAO:0000118	Printing Workers
WARN	duplicate_exact_synonym	obo:OCCO_51602000	IAO:0000118	Pressers, Textile, Garment, and Related Materials
WARN	duplicate_exact_synonym	obo:OCCO_51602100	IAO:0000118	Pressers, Textile, Garment, and Related Materials
WARN	duplicate_exact_synonym	obo:OCCO_11913000	IAO:0000118	Postmasters and Mail Superintendents
WARN	duplicate_exact_synonym	obo:OCCO_11913100	IAO:0000118	Postmasters and Mail Superintendents
WARN	duplicate_exact_synonym	obo:OCCO_29108000	IAO:0000118	Podiatrists
WARN	duplicate_exact_synonym	obo:OCCO_29108100	IAO:0000118	Podiatrists
WARN	duplicate_exact_synonym	obo:OCCO_47216000	IAO:0000118	Plasterers and Stucco Masons
WARN	duplicate_exact_synonym	obo:OCCO_47216100	IAO:0000118	Plasterers and Stucco Masons
WARN	duplicate_exact_synonym	obo:OCCO_29107000	IAO:0000118	Physician Assistants
WARN	duplicate_exact_synonym	obo:OCCO_29107100	IAO:0000118	Physician Assistants
WARN	duplicate_exact_synonym	obo:OCCO_51915000	IAO:0000118	Photographic Process Workers and Processing Machine Operators
WARN	duplicate_exact_synonym	obo:OCCO_51915100	IAO:0000118	Photographic Process Workers and Processing Machine Operators
WARN	duplicate_exact_synonym	obo:OCCO_27402000	IAO:0000118	Photographers
WARN	duplicate_exact_synonym	obo:OCCO_27402100	IAO:0000118	Photographers
WARN	duplicate_exact_synonym	obo:OCCO_29105000	IAO:0000118	Pharmacists
WARN	duplicate_exact_synonym	obo:OCCO_29105100	IAO:0000118	Pharmacists
WARN	duplicate_exact_synonym	obo:OCCO_17217000	IAO:0000118	Petroleum Engineers
WARN	duplicate_exact_synonym	obo:OCCO_17217100	IAO:0000118	Petroleum Engineers
